country_code,country_x,currency,currency_key,missing_curr,date,price,rate_curr,curr_date,rate_7,rate_30,rate_90
AFG,Afghanistan,,,AFN,,,,,,,
ALB,Albania,,,ALL,2016-01-01 00:00:00,20.98,,,,,
DZA,Algeria,ALGERIAN DINAR   (DZD),ALGERIAN DINAR   (DZD),,2016-01-01 00:00:00,18.42,109.1,2016-04-24 00:00:00,109.31,108.28,109.59
AGO,Angola,,,AOA,,,,,,,
ATG,Antigua and Barbuda,,,XCD,,,,,,,
ARG,Argentina,,,ARS,2016-01-01 00:00:00,41.97,,,,,
ARM,Armenia,,,AMD,2016-01-01 00:00:00,23.13,,,,,
AUS,Australia,Australian dollar   (AUD),Australian dollar   (AUD),,2016-01-01 00:00:00,60.43,0.78,2016-04-24 00:00:00,0.78,0.77,0.76
AUT,Austria,euro   (EUR),euro   (EUR),,2016-01-01 00:00:00,47.16,1.13,2016-04-24 00:00:00,1.13,1.14,1.13
AZE,Azerbaijan,,,AZN,2016-01-01 00:00:00,20.35,,,,,
BHS,Bahamas,,,BSD,2016-01-01 00:00:00,74.22,,,,,
BHR,Bahrain,Bahrain dinar   (BHD),Bahrain dinar   (BHD),,2016-01-01 00:00:00,41.25,0.38,2016-04-24 00:00:00,0.38,0.38,0.38
BGD,Bangladesh,,,BDT,2016-01-01 00:00:00,20.99,,,,,
BRB,Barbados,,,BBD,,,,,,,
BLR,Belarus,,,BYR,2016-01-01 00:00:00,26.86,,,,,
BEL,Belgium,euro   (EUR),euro   (EUR),,2016-01-01 00:00:00,54.28,1.13,2016-04-24 00:00:00,1.13,1.14,1.13
BLZ,Belize,,,BZD,2016-01-01 00:00:00,36.57,,,,,
BEN,Benin,,,XOF,,,,,,,
BMU,Bermuda,,,BMD,2016-01-01 00:00:00,127.17,,,,,
BTN,Bhutan,,,BTN,,,,,,,
BOL,Bolivia,,,BOB,2016-01-01 00:00:00,24.27,,,,,
BWA,Botswana,Botswana pula   (BWP),Botswana pula   (BWP),,2016-01-01 00:00:00,23.64,0.09,2016-04-24 00:00:00,0.09,0.09,0.09
BRA,Brazil,Brazilian real   (BRL),Brazilian real   (BRL),,2016-01-01 00:00:00,26.1,3.55,2016-04-24 00:00:00,3.57,3.58,3.66
BRN,Brunei Darussalam,Brunei dollar   (BND),Brunei dollar   (BND),,2016-01-01 00:00:00,36.68,1.35,2016-04-24 00:00:00,1.35,1.34,1.35
BGR,Bulgaria,,,BGN,2016-01-01 00:00:00,22.95,,,,,
BFA,Burkina Faso,,,XOF,,,,,,,
BDI,Burundi,,,BIF,,,,,,,
KHM,Cambodia,,,KHR,2016-01-01 00:00:00,30.5,,,,,
