family,vgood,sep_nov,cluster_id,at,country_code,mar_may,visa_req,friend,poor,solo,business,couple,jun_aug,allowed_stay,excellent,dt,dec_feb,country,average,terrible,_id
0.13,-0.03,1.11,14,"[u'Nature & Wildlife Areas', u'National Parks', u'Parks', u'Points of Interest & Landmarks', u'Historic Sites']",ZWE,-1.24,Visa on arrival,0.76,-0.68,-0.83,-1.4,1.33,0.85,3 months,1.94,"[0.13720219186556334, 0.0037901973563552647, 0.09591325374261457, 0.1549555327661565, 0.23691944949073118, 0.11901001586072389, 0.0, 0.07029532807651526, 0.14941155390152544, 0.03250247693981457]",-0.72,Zimbabwe,-0.54,-0.69,56e21c201059e9f2c78e4ead
-0.21,0.14,1.41,1,"[u'Nature & Wildlife Areas', u'National Parks', u'Bodies of Water', u'Specialty Museums', u'Parks']",ZMB,-1.37,Visa on arrival,0.57,-0.79,-0.57,-1.36,1.57,-0.28,"90 days (exact period determined on arrival, later extendable free of charge)",1.88,"[0.022326438046498927, 0.00013007398118518212, 0.1574912616836421, 0.20489937287093757, 0.20326814439333246, 0.061090905284309084, 0.010540163562944587, 0.12941384009372517, 0.1346207228691563, 0.07621907721426857]",0.23,Zambia,-0.44,-0.79,56e21c201059e9f2c78e4eae
-1.03,-0.13,0.97,7,"[u'Religious Sites', u'Points of Interest & Landmarks', u'Beaches', u'Historic Sites', u'Ancient Ruins']",YEM,-1.11,Visa required,1.75,-0.63,0.45,-0.51,-0.66,-0.88,,1.96,"[0.26259237734950414, 0.0, 0.0, 0.6127392854373513, 0.0, 0.0, 0.0, 0.12466833721314456, 0.0, 0.0]",1.03,Yemen,-0.54,-0.66,56e21c201059e9f2c78e4eaf
-0.18,0.88,0.07,16,"[u'Historic Sites', u'Bodies of Water', u'History Museums', u'Points of Interest & Landmarks', u'Religious Sites']",VNM,-0.89,Visa required,0.25,-0.93,-0.56,-1.25,1.74,-0.79,,1.48,"[0.08179450315965009, 0.03611375809722352, 0.19153913032178985, 0.2825083205009209, 0.006284230307649303, 0.14472581049009842, 0.014662385181285714, 0.029370340325101364, 0.18190308548043807, 0.031098436135842726]",1.61,Vietnam,-0.44,-0.99,56e21c201059e9f2c78e4eb0
1.08,0.29,0.32,13,"[u'Beaches', u'Points of Interest & Landmarks', u'Islands', u'Bodies of Water', u'National Parks']",VEN,-1.54,Visa required,0.07,-0.8,-1.07,-1.2,1.12,-0.01,,1.83,"[0.1320486548833384, 0.1111111111111111, 0.14697351296178893, 0.1289905833721872, 0.0, 0.0643336398506858, 0.1217786665342018, 0.08779956488103027, 0.19027297071010218, 0.01669129569555433]",1.23,Venezuela,-0.49,-0.83,56e21c201059e9f2c78e4eb1
0.19,-0.06,1.23,1,"[u'Points of Interest & Landmarks', u'Religious Sites', u'Specialty Museums', u'Monuments & Statues', u'Historic Sites']",VAT,-1.31,Visa not required,0.05,-0.67,-0.77,-1.19,1.72,0.66,,1.95,"[0.016107900252258278, 0.009409846228217994, 0.01795387322919578, 0.6536497807830218, 0.0010743621465390482, 0.023220574097823906, 0.07241081262283158, 0.12928638284350766, 0.07688646779660398, 0.0]",-0.58,Vatican City,-0.52,-0.69,56e21c201059e9f2c78e4eb2
-0.89,0.36,1.55,4,"[u'Points of Interest & Landmarks', u'Religious Sites', u'Architectural Buildings', u'Ancient Ruins', u'Historic Sites']",UZB,-0.36,Visa required,1.55,-0.82,0.2,-1.26,0.41,0.03,,1.8,"[0.07721471200074605, 0.00504637765071115, 0.032361175125419014, 0.3861353776918655, 0.0, 0.13175650284580448, 0.04135099333617425, 0.10892634985826043, 0.07954018385663562, 0.1376683276343835]",-1.22,Uzbekistan,-0.5,-0.84,56e21c201059e9f2c78e4eb3
0.37,0.86,-0.04,13,"[u'Points of Interest & Landmarks', u'Art Museums', u'Bridges', u'Beaches', u'Neighborhoods']",URY,-1.13,Visa not required,0.12,-0.91,-0.88,-1.22,1.61,-0.42,3 months,1.51,"[0.05841834857342142, 0.05415673618562039, 0.035962296575148815, 0.25882556744181073, 0.01010788967885604, 0.2510712822966978, 0.022453534157135375, 0.1129619465518272, 0.1142127193216637, 0.0818296792178185]",1.59,Uruguay,-0.51,-0.94,56e21c201059e9f2c78e4eb4
0.76,-0.02,0.53,3,"[u'Art Museums', u'Theater & Performances', u'Historic Sites', u'Specialty Museums', u'History Museums']",GBR,-1.23,Visa not required,0.16,-0.67,-0.84,-1.4,1.32,1.34,6 months,1.94,"[0.015403914095175985, 0.0, 0.1253627913095375, 0.389885028903889, 0.0793933428390911, 0.01628968036006944, 0.05107845550197852, 0.1994860594493069, 0.12119743878443823, 0.001903288756513261]",-0.64,United Kingdom,-0.56,-0.68,56e21c201059e9f2c78e4eb5
0.9,0.24,0.26,2,"[u'Points of Interest & Landmarks', u'Shopping Malls', u'Architectural Buildings', u'Water Parks', u'Religious Sites']",ARE,-0.69,Visa on arrival,-0.05,-0.78,-1.1,-1.09,1.34,-1.08,30 days,1.85,"[0.1374935368165815, 0.08298897241820384, 0.21824779227796925, 0.18232276227145253, 0.07103646751112679, 0.0969256962740302, 0.01151726286873898, 0.027057386772873816, 0.11671273749904483, 0.05569738528997825]",1.51,United Arab Emirates,-0.51,-0.81,56e21c201059e9f2c78e4eb6
