country_code,country_x,currency,currency_key,missing_curr,date,price,rate_curr,curr_date,rate_7,rate_30,rate_90
AFG,Afghanistan,,,AFN,,,,,,,
ALB,Albania,,,ALL,,,,,,,
DZA,Algeria,ALGERIAN DINAR   (DZD),ALGERIAN DINAR   (DZD),,,,107.25,2016-02-28 00:00:00,107.59,106.49,107.76
AGO,Angola,,,AOA,,,,,,,
ATG,Antigua and Barbuda,,,XCD,,,,,,,
ARG,Argentina,,,ARS,2016-01-15 00:00:00,2.3897025544,,,,,
ARM,Armenia,,,AMD,,,,,,,
AUS,Australia,Australian dollar   (AUD),Australian dollar   (AUD),,2016-01-15 00:00:00,3.743655,0.72,2016-02-28 00:00:00,0.72,0.72,0.71
AUT,Austria,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,3.7625,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
AZE,Azerbaijan,,,AZN,,,,,,,
BHS,Bahamas,,,BSD,,,,,,,
BHR,Bahrain,Bahrain dinar   (BHD),Bahrain dinar   (BHD),,,,0.38,2016-02-28 00:00:00,0.38,0.38,0.38
BGD,Bangladesh,,,BDT,,,,,,,
BRB,Barbados,,,BBD,,,,,,,
BLR,Belarus,,,BYR,,,,,,,
BEL,Belgium,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,4.24625,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
BLZ,Belize,,,BZD,,,,,,,
BEN,Benin,,,XOF,,,,,,,
BMU,Bermuda,,,BMD,,,,,,,
BTN,Bhutan,,,BTN,,,,,,,
BOL,Bolivia,,,BOB,,,,,,,
BWA,Botswana,Botswana pula   (BWP),Botswana pula   (BWP),,,,0.09,2016-02-28 00:00:00,0.09,0.09,0.09
BRA,Brazil,Brazilian real   (BRL),Brazilian real   (BRL),,2016-01-15 00:00:00,3.3542039356,3.98,2016-02-28 00:00:00,3.99,3.93,4.04
BRN,Brunei Darussalam,Brunei dollar   (BND),Brunei dollar   (BND),,,,1.4,2016-02-28 00:00:00,1.4,1.39,1.4
BGR,Bulgaria,,,BGN,,,,,,,
BFA,Burkina Faso,,,XOF,,,,,,,
BDI,Burundi,,,BIF,,,,,,,
KHM,Cambodia,,,KHR,,,,,,,
CMR,Cameroon,,,XAF,,,,,,,
CAN,Canada,Canadian dollar   (CAD),Canadian dollar   (CAD),,2016-01-15 00:00:00,4.1441952881,1.37,2016-02-28 00:00:00,1.37,1.36,1.37
CAF,Central African Republic,,,XAF,,,,,,,
TCD,Chad,,,XAF,,,,,,,
CHL,Chile,Chilean peso   (CLP),Chilean peso   (CLP),,2016-01-15 00:00:00,2.9361800298,694.36,2016-02-28 00:00:00,694.78,701.26,709.26
CHN,China,Chinese yuan   (CNY),Chinese yuan   (CNY),,2016-01-15 00:00:00,2.6836632003,6.53,2016-02-28 00:00:00,6.53,6.52,6.52
COL,Columbia,Colombian peso   (COP),Colombian peso   (COP),,2016-01-15 00:00:00,2.4278558038,3329.08,2016-02-28 00:00:00,3331.41,3447.41,3508.36
COM,Comoros,,,KMF,,,,,,,
COD,Democratic Republic of the Congo,,,XAF,,,,,,,
COG,People's Republic of the Congo,,,XAF,,,,,,,
CRI,Costa Rica,,,CRC,2016-01-15 00:00:00,4.0168145726,,,,,
CIV,Ivory Coast,,,XOF,,,,,,,
HRV,Croatia,,,HRK,,,,,,,
CUB,Cuba,,,CUC,,,,,,,
CYP,Cyprus,euro   (EUR),euro   (EUR),,,,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
CZE,Czech Republic,Czech koruna   (CZK),Czech koruna   (CZK),,2016-01-15 00:00:00,2.9827952371,24.56,2016-02-28 00:00:00,24.58,24.41,24.64
DNK,Denmark,Danish krone   (DKK),Danish krone   (DKK),,2016-01-15 00:00:00,4.3224551545,6.78,2016-02-28 00:00:00,6.78,6.72,6.76
DJI,Djibouti,,,DJF,,,,,,,
DOM,Dominican Republic,,,DOP,,,,,,,
TMP,East Timor,,,IDR,,,,,,,
ECU,Ecuador,U.S. dollar   (USD),U.S. dollar   (USD),,,,1,2016-02-28 00:00:00,1,1,1
EGY,Egypt,,,EGP,2016-01-15 00:00:00,2.1621828724,,,,,
SLV,El Salvador,,,SVC,,,,,,,
GNQ,Equatorial Guinea,,,XAF,,,,,,,
ERI,Eritrea,,,ERN,,,,,,,
EST,Estonia,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,3.225,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
ETH,Ethiopia,,,ETB,,,,,,,
FJI,Fiji,,,FJD,,,,,,,
FIN,Finland,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,4.4075,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
FRA,France,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,4.4075,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
GAB,Gabon,,,XAF,,,,,,,
GMB,Gambia,,,GMD,,,,,,,
GEO,Georgia,,,GEL,,,,,,,
DEU,Germany,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,3.85925,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
GHA,Ghana,,,GHS,,,,,,,
GRC,Greece,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,3.60125,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
GRD,Grenada,,,XCD,,,,,,,
GTM,Guatemala,,,GTQ,,,,,,,
GIN,Guinea,,,GNF,,,,,,,
GNB,Guinea-Bissau,,,XAF,,,,,,,
GUY,Guyana,,,GYD,,,,,,,
HTI,Haiti,,,HTG,,,,,,,
VAT,Vatican City,euro   (EUR),euro   (EUR),,,,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
HND,Honduras,,,HNL,,,,,,,
HUN,Hungary,Hungarian forint   (HUF),Hungarian forint   (HUF),,2016-01-15 00:00:00,3.0750407315,280.61,2016-02-28 00:00:00,281.06,279.86,282.59
ISL,Iceland,Icelandic krona   (ISK),Icelandic krona   (ISK),,,,129.11,2016-02-28 00:00:00,129.07,128.24,128.63
IND,India,Indian rupee   (INR),Indian rupee   (INR),,2016-01-15 00:00:00,1.9011264548,68.63,2016-02-28 00:00:00,68.75,68.84,69.77
IDN,Indonesia,Indonesian rupiah   (IDR),Indonesian rupiah   (IDR),,2016-01-15 00:00:00,2.1867718229,13423.8,2016-02-28 00:00:00,13434.02,13485.31,13658.89
IRN,Iran,Iranian rial   (IRR),Iranian rial   (IRR),,,,30191.4,2016-02-28 00:00:00,30272.69,30699.94,31795.59
IRQ,Iraq,,,IQD,,,,,,,
IRL,Ireland,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,4.24625,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
ISR,Israel,Israeli new sheqel   (ILS),Israeli new sheqel   (ILS),,2016-01-15 00:00:00,4.2881973078,3.91,2016-02-28 00:00:00,3.91,3.9,3.91
ITA,Italy,euro   (EUR),euro   (EUR),,2016-01-15 00:00:00,4.3,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
JAM,Jamaica,,,JMD,,,,,,,
JPN,Japan,Japanese yen   (JPY),Japanese yen   (JPY),,2016-01-15 00:00:00,3.1185469257,112.41,2016-02-28 00:00:00,112.8,114.87,116.01
JOR,Jordan,,,JOD,,,,,,,
KAZ,Kazakhstan,Kazakhstani tenge   (KZT),Kazakhstani tenge   (KZT),,,,349.9,2016-02-28 00:00:00,351.33,354.13,364.25
KEN,Kenya,,,KES,,,,,,,
PRK,North Korea,,,KPW,,,,,,,
KOR,South Korea,Korean won   (KRW),Korean won   (KRW),,2016-01-15 00:00:00,3.5900647047,1233.76,2016-02-28 00:00:00,1234.11,1219.1,1222.33
KWT,Kuwait,Kuwaiti dinar   (KWD),Kuwaiti dinar   (KWD),,,,0.3,2016-02-28 00:00:00,0.3,0.3,0.3
KGZ,Kyrgyzstan,,,KGS,,,,,,,
LAO,Laos,,,LAK,,,,,,,
LVA,Latvia,euro   (EUR),euro   (EUR),,,,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
LBN,Lebanon,,,LBP,,,,,,,
LSO,Lesotho,,,LSL,,,,,,,
LBR,Liberia,,,LRD,,,,,,,
LBY,Libya,Libyan dinar   (LYD),Libyan dinar   (LYD),,,,1.93,2016-02-28 00:00:00,1.93,1.93,1.93
LIE,Liechtenstein,Swiss franc   (CHF),Swiss franc   (CHF),,,,0.99,2016-02-28 00:00:00,0.99,0.99,1
LTU,Lithuania,,,LTL,,,,,,,
LUX,Luxembourg,euro   (EUR),euro   (EUR),,,,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
MKD,Macedonia,,,MKD,,,,,,,
MDG,Madagascar,,,MGA,,,,,,,
MWI,Malawi,,,MWK,,,,,,,
MYS,Malaysia,Malaysian ringgit   (MYR),Malaysian ringgit   (MYR),,2016-01-15 00:00:00,1.8212862834,4.22,2016-02-28 00:00:00,4.22,4.13,4.17
MDV,Maldives,,,MVR,,,,,,,
MLI,Mali,,,XOF,,,,,,,
MLT,Malta,euro   (EUR),euro   (EUR),,,,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
MRT,Mauritania,,,MRO,,,,,,,
MEX,Mexico,Mexican peso   (MXN),Mexican peso   (MXN),,2016-01-15 00:00:00,2.8101567092,18.22,2016-02-28 00:00:00,18.24,18.56,18.81
FSM,Micronesia,U.S. dollar   (USD),U.S. dollar   (USD),,,,1,2016-02-28 00:00:00,1,1,1
MDA,Moldova,,,MDL,,,,,,,
MCO,Monaco,euro   (EUR),euro   (EUR),,,,1.1,2016-02-28 00:00:00,1.1,1.11,1.1
